#
# https://github.com/ccammack/anki-vim-quickref
#
# Import vim-quickref.csv into Anki with these Import Options:
#
#   Type:                 Basic (and reversed card)
#   Deck:                 vim-quickref
#   Fields separated by:  Tab
#   Allow HTML in fields: [checked]
#
# https://raw.githubusercontent.com/vim/vim/master/runtime/doc/quickref.txt
#
# *quickref.txt*  For Vim version 9.1.  Last change: 2024 Mar 03
#
(Left-right motions)<br>N h  	(Left-right motions)<br>  left (also: CTRL-H, &lt;BS&gt;, or &lt;Left&gt; key)
(Left-right motions)<br>N l  	(Left-right motions)<br>  right (also: &lt;Space&gt; or &lt;Right&gt; key)
(Left-right motions)<br>0  	(Left-right motions)<br>  to first character in the line (also: &lt;Home&gt; key)
(Left-right motions)<br>^  	(Left-right motions)<br>  to first non-blank character in the line
(Left-right motions)<br>N $  	(Left-right motions)<br>  to the last character in the line (N-1 lines lower) (also: &lt;End&gt; key)
(Left-right motions)<br>g0  	(Left-right motions)<br>  to first character in screen line (differs from "0" when lines wrap)
(Left-right motions)<br>g^  	(Left-right motions)<br>  to first non-blank character in screen line (differs from "^" when lines wrap)
(Left-right motions)<br>N g$  	(Left-right motions)<br>  to last character in screen line (differs from "$" when lines wrap)
(Left-right motions)<br>gm  	(Left-right motions)<br>  to middle of the screen line
(Left-right motions)<br>gM  	(Left-right motions)<br>  to middle of the line
(Left-right motions)<br>N |  	(Left-right motions)<br>  to column N (default: 1)
(Left-right motions)<br>N f{char}  	(Left-right motions)<br>  to the Nth occurrence of {char} to the right
(Left-right motions)<br>N F{char}  	(Left-right motions)<br>  to the Nth occurrence of {char} to the left
(Left-right motions)<br>N t{char}  	(Left-right motions)<br>  till before the Nth occurrence of {char} to the right
(Left-right motions)<br>N T{char}  	(Left-right motions)<br>  till before the Nth occurrence of {char} to the left
(Left-right motions)<br>N ;  	(Left-right motions)<br>  repeat the last "f", "F", "t", or "T" N times
(Left-right motions)<br>N ,  	(Left-right motions)<br>  repeat the last "f", "F", "t", or "T" N times in opposite direction
(Up-down motions)<br>N k  	(Up-down motions)<br>  up N lines (also: CTRL-P and &lt;Up&gt;)
(Up-down motions)<br>N j  	(Up-down motions)<br>  down N lines (also: CTRL-J, CTRL-N, &lt;NL&gt;, and &lt;Down&gt;)
(Up-down motions)<br>N -  	(Up-down motions)<br>  up N lines, on the first non-blank character
(Up-down motions)<br>N +  	(Up-down motions)<br>  down N lines, on the first non-blank character (also: CTRL-M and &lt;CR&gt;)
(Up-down motions)<br>N _  	(Up-down motions)<br>  down N-1 lines, on the first non-blank character
(Up-down motions)<br>N G  	(Up-down motions)<br>  goto line N (default: last line), on the first non-blank character
(Up-down motions)<br>N gg  	(Up-down motions)<br>  goto line N (default: first line), on the first non-blank character
(Up-down motions)<br>N %  	(Up-down motions)<br>  goto line N percentage down in the file; N must be given, otherwise it is the |%| command
(Up-down motions)<br>N gk  	(Up-down motions)<br>  up N screen lines (differs from "k" when line wraps)
(Up-down motions)<br>N gj  	(Up-down motions)<br>  down N screen lines (differs from "j" when line wraps)
(Text object motions)<br>N w  	(Text object motions)<br>  N words forward
(Text object motions)<br>N W  	(Text object motions)<br>  N blank-separated |WORD|s forward
(Text object motions)<br>N e  	(Text object motions)<br>  forward to the end of the Nth word
(Text object motions)<br>N E  	(Text object motions)<br>  forward to the end of the Nth blank-separated |WORD|
(Text object motions)<br>N b  	(Text object motions)<br>  N words backward
(Text object motions)<br>N B  	(Text object motions)<br>  N blank-separated |WORD|s backward
(Text object motions)<br>N ge  	(Text object motions)<br>  backward to the end of the Nth word
(Text object motions)<br>N gE  	(Text object motions)<br>  backward to the end of the Nth blank-separated |WORD|
(Text object motions)<br>N )  	(Text object motions)<br>  N sentences forward
(Text object motions)<br>N (  	(Text object motions)<br>  N sentences backward
(Text object motions)<br>N }  	(Text object motions)<br>  N paragraphs forward
(Text object motions)<br>N {  	(Text object motions)<br>  N paragraphs backward
(Text object motions)<br>N ]]  	(Text object motions)<br>  N sections forward, at start of section
(Text object motions)<br>N [[  	(Text object motions)<br>  N sections backward, at start of section
(Text object motions)<br>N ][  	(Text object motions)<br>  N sections forward, at end of section
(Text object motions)<br>N []  	(Text object motions)<br>  N sections backward, at end of section
(Text object motions)<br>N [(  	(Text object motions)<br>  N times back to unclosed '('
(Text object motions)<br>N [{  	(Text object motions)<br>  N times back to unclosed '{'
(Text object motions)<br>N [m  	(Text object motions)<br>  N times back to start of method (for Java)
(Text object motions)<br>N [M  	(Text object motions)<br>  N times back to end of method (for Java)
(Text object motions)<br>N ])  	(Text object motions)<br>  N times forward to unclosed ')'
(Text object motions)<br>N ]}  	(Text object motions)<br>  N times forward to unclosed '}'
(Text object motions)<br>N ]m  	(Text object motions)<br>  N times forward to start of method (for Java)
(Text object motions)<br>N ]M  	(Text object motions)<br>  N times forward to end of method (for Java)
(Text object motions)<br>N [#  	(Text object motions)<br>  N times back to unclosed "#if" or "#else"
(Text object motions)<br>N ]#  	(Text object motions)<br>  N times forward to unclosed "#else" or "#endif"
(Text object motions)<br>N [*  	(Text object motions)<br>  N times back to start of comment "/*"
(Text object motions)<br>N ]*  	(Text object motions)<br>  N times forward to end of comment "*/"
(Pattern searches)<br>N /{pattern}[/[offset]]&lt;CR&gt;  	(Pattern searches)<br>  search forward for the Nth occurrence of {pattern}
(Pattern searches)<br>N ?{pattern}[?[offset]]&lt;CR&gt;  	(Pattern searches)<br>  search backward for the Nth occurrence of {pattern}
(Pattern searches)<br>N /&lt;CR&gt;  	(Pattern searches)<br>  repeat last search, in the forward direction
(Pattern searches)<br>N ?&lt;CR&gt;  	(Pattern searches)<br>  repeat last search, in the backward direction
(Pattern searches)<br>N n  	(Pattern searches)<br>  repeat last search
(Pattern searches)<br>N N  	(Pattern searches)<br>  repeat last search, in opposite direction
(Pattern searches)<br>N *  	(Pattern searches)<br>  search forward for the identifier under the cursor
(Pattern searches)<br>N #  	(Pattern searches)<br>  search backward for the identifier under the cursor
(Pattern searches)<br>N g*  	(Pattern searches)<br>  like "*", but also find partial matches
(Pattern searches)<br>N g#  	(Pattern searches)<br>  like "#", but also find partial matches
(Pattern searches)<br>gd  	(Pattern searches)<br>  goto local declaration of identifier under the cursor
(Pattern searches)<br>gD  	(Pattern searches)<br>  goto global declaration of identifier under the cursor
(Marks and motions)<br>m{a-zA-Z}  	(Marks and motions)<br>  mark current position with mark {a-zA-Z}
(Marks and motions)<br>`{a-z}  	(Marks and motions)<br>  go to mark {a-z} within current file
(Marks and motions)<br>`{A-Z}  	(Marks and motions)<br>  go to mark {A-Z} in any file
(Marks and motions)<br>`{0-9}  	(Marks and motions)<br>  go to the position where Vim was previously exited
(Marks and motions)<br>``  	(Marks and motions)<br>  go to the position before the last jump
(Marks and motions)<br>`"  	(Marks and motions)<br>  go to the position when last editing this file
(Marks and motions)<br>`[  	(Marks and motions)<br>  go to the start of the previously operated or put text
(Marks and motions)<br>`]  	(Marks and motions)<br>  go to the end of the previously operated or put text
(Marks and motions)<br>`&lt;  	(Marks and motions)<br>  go to the start of the (previous) Visual area
(Marks and motions)<br>`&gt;  	(Marks and motions)<br>  go to the end of the (previous) Visual area
(Marks and motions)<br>`.  	(Marks and motions)<br>  go to the position of the last change in this file
(Marks and motions)<br>'{a-zA-Z0-9[]'"&lt;&gt;.}  	(Marks and motions)<br>  same as `, but on the first non-blank in the line
(Marks and motions)<br>:marks  	(Marks and motions)<br>  print the active marks
(Marks and motions)<br>N CTRL-O  	(Marks and motions)<br>  go to Nth older position in jump list
(Marks and motions)<br>N CTRL-I  	(Marks and motions)<br>  go to Nth newer position in jump list
(Marks and motions)<br>:ju[mps]  	(Marks and motions)<br>  print the jump list
(Various motions)<br>%  	(Various motions)<br>  find the next brace, bracket, comment, or "#if"/ "#else"/"#endif" in this line and go to its match
(Various motions)<br>N H  	(Various motions)<br>  go to the Nth line in the window, on the first non-blank
(Various motions)<br>M  	(Various motions)<br>  go to the middle line in the window, on the first non-blank
(Various motions)<br>N L  	(Various motions)<br>  go to the Nth line from the bottom, on the first non-blank
(Various motions)<br>N go  	(Various motions)<br>  go to Nth byte in the buffer
(Various motions)<br>:[range]go[to] [off]  	(Various motions)<br>  go to [off] byte in the buffer
(Using tags)<br>:ta[g][!] {tag}  	(Using tags)<br>  jump to tag {tag}
(Using tags)<br>:[count]ta[g][!]  	(Using tags)<br>  jump to [count]'th newer tag in tag list
(Using tags)<br>CTRL-]  	(Using tags)<br>  jump to the tag under cursor, unless changes have been made
(Using tags)<br>:ts[elect][!] [tag]  	(Using tags)<br>  list matching tags and select one to jump to
(Using tags)<br>:tj[ump][!] [tag]  	(Using tags)<br>  jump to tag [tag] or select from list when there are multiple matches
(Using tags)<br>:lt[ag][!] [tag]  	(Using tags)<br>  jump to tag [tag] and add matching tags to the location list
(Using tags)<br>:tags  	(Using tags)<br>  print tag list
(Using tags)<br>N CTRL-T  	(Using tags)<br>  jump back from Nth older tag in tag list
(Using tags)<br>:[count]po[p][!]  	(Using tags)<br>  jump back from [count]'th older tag in tag list
(Using tags)<br>:[count]tn[ext][!]  	(Using tags)<br>  jump to [count]'th next matching tag
(Using tags)<br>:[count]tp[revious][!]  	(Using tags)<br>  jump to [count]'th previous matching tag
(Using tags)<br>:[count]tr[ewind][!]  	(Using tags)<br>  jump to [count]'th matching tag
(Using tags)<br>:tl[ast][!]  	(Using tags)<br>  jump to last matching tag
(Using tags)<br>:pt[ag] {tag}  	(Using tags)<br>  open a preview window to show tag {tag}
(Using tags)<br>CTRL-W }  	(Using tags)<br>  like CTRL-] but show tag in preview window
(Using tags)<br>:pts[elect]  	(Using tags)<br>  like ":tselect" but show tag in preview window
(Using tags)<br>:ptj[ump]  	(Using tags)<br>  like ":tjump" but show tag in preview window
(Using tags)<br>:pc[lose]  	(Using tags)<br>  close tag preview window
(Using tags)<br>CTRL-W z  	(Using tags)<br>  close tag preview window
(Scrolling)<br>N CTRL-E  	(Scrolling)<br>  window N lines downwards (default: 1)
(Scrolling)<br>N CTRL-D  	(Scrolling)<br>  window N lines Downwards (default: 1/2 window)
(Scrolling)<br>N CTRL-F  	(Scrolling)<br>  window N pages Forwards (downwards)
(Scrolling)<br>N CTRL-Y  	(Scrolling)<br>  window N lines upwards (default: 1)
(Scrolling)<br>N CTRL-U  	(Scrolling)<br>  window N lines Upwards (default: 1/2 window)
(Scrolling)<br>N CTRL-B  	(Scrolling)<br>  window N pages Backwards (upwards)
(Scrolling)<br>z&lt;CR&gt; or zt  	(Scrolling)<br>  redraw, current line at top of window
(Scrolling)<br>z.  	(Scrolling)<br>  or zz redraw, current line at center of window
(Scrolling)<br>z-  	(Scrolling)<br>  or zb redraw, current line at bottom of window
(Scrolling)<br>N zh  	(Scrolling)<br>  scroll screen N characters to the right
(Scrolling)<br>N zl  	(Scrolling)<br>  scroll screen N characters to the left
(Scrolling)<br>N zH  	(Scrolling)<br>  scroll screen half a screenwidth to the right
(Scrolling)<br>N zL  	(Scrolling)<br>  scroll screen half a screenwidth to the left
(Inserting text)<br>N a  	(Inserting text)<br>  append text after the cursor (N times)
(Inserting text)<br>N A  	(Inserting text)<br>  append text at the end of the line (N times)
(Inserting text)<br>N i  	(Inserting text)<br>  insert text before the cursor (N times) (also: &lt;Insert&gt;)
(Inserting text)<br>N I  	(Inserting text)<br>  insert text before the first non-blank in the line (N times)
(Inserting text)<br>N gI  	(Inserting text)<br>  insert text in column 1 (N times)
(Inserting text)<br>N o  	(Inserting text)<br>  open a new line below the current line, append text (N times)
(Inserting text)<br>N O  	(Inserting text)<br>  open a new line above the current line, append text (N times)
(Inserting text)<br>:star[tinsert][!]  	(Inserting text)<br>  start Insert mode, append when [!] used
(Inserting text)<br>:startr[eplace][!]  	(Inserting text)<br>  start Replace mode, at EOL when [!] used
(Inserting text)<br>I  	(Inserting text)<br>  insert the same text in front of all the selected lines
(Inserting text)<br>A  	(Inserting text)<br>  append the same text after all the selected lines
(Insert mode keys)<br>&lt;Esc&gt;  	(Insert mode keys)<br>  end Insert mode, back to Normal mode
(Insert mode keys)<br>CTRL-C  	(Insert mode keys)<br>  like &lt;Esc&gt;, but do not use an abbreviation
(Insert mode keys)<br>CTRL-O {command}  	(Insert mode keys)<br>  execute {command} and return to Insert mode
(Insert mode keys)<br>cursor keys  	(Insert mode keys)<br>  move cursor left/right/up/down
(Insert mode keys)<br>shift-left/right  	(Insert mode keys)<br>  one word left/right
(Insert mode keys)<br>shift-up/down  	(Insert mode keys)<br>  one screenful backward/forward
(Insert mode keys)<br>&lt;End&gt;  	(Insert mode keys)<br>  cursor after last character in the line
(Insert mode keys)<br>&lt;Home&gt;  	(Insert mode keys)<br>  cursor to first character in the line
(Special keys in Insert mode)<br>CTRL-V {char}..  	(Special keys in Insert mode)<br>  insert character literally, or enter decimal byte value
(Special keys in Insert mode)<br>&lt;NL&gt; or &lt;CR&gt; or CTRL-M or CTRL-J  	(Special keys in Insert mode)<br>  begin new line
(Special keys in Insert mode)<br>CTRL-E  	(Special keys in Insert mode)<br>  insert the character from below the cursor
(Special keys in Insert mode)<br>CTRL-Y  	(Special keys in Insert mode)<br>  insert the character from above the cursor
(Special keys in Insert mode)<br>CTRL-A  	(Special keys in Insert mode)<br>  insert previously inserted text
(Special keys in Insert mode)<br>CTRL-@  	(Special keys in Insert mode)<br>  insert previously inserted text and stop Insert mode
(Special keys in Insert mode)<br>CTRL-R {register}  	(Special keys in Insert mode)<br>  insert the contents of a register
(Special keys in Insert mode)<br>CTRL-N  	(Special keys in Insert mode)<br>  insert next match of identifier before the cursor
(Special keys in Insert mode)<br>CTRL-P  	(Special keys in Insert mode)<br>  insert previous match of identifier before the cursor
(Special keys in Insert mode)<br>CTRL-X ...  	(Special keys in Insert mode)<br>  complete the word before the cursor in various ways
(Special keys in Insert mode)<br>&lt;BS&gt; or CTRL-H  	(Special keys in Insert mode)<br>  delete the character before the cursor
(Special keys in Insert mode)<br>&lt;Del&gt;  	(Special keys in Insert mode)<br>  delete the character under the cursor
(Special keys in Insert mode)<br>CTRL-W  	(Special keys in Insert mode)<br>  delete word before the cursor
(Special keys in Insert mode)<br>CTRL-U  	(Special keys in Insert mode)<br>  delete all entered characters in the current line
(Special keys in Insert mode)<br>CTRL-T  	(Special keys in Insert mode)<br>  insert one shiftwidth of indent in front of the current line
(Special keys in Insert mode)<br>CTRL-D  	(Special keys in Insert mode)<br>  delete one shiftwidth of indent in front of the current line
(Special keys in Insert mode)<br>0 CTRL-D  	(Special keys in Insert mode)<br>  delete all indent in the current line
(Special keys in Insert mode)<br>^ CTRL-D  	(Special keys in Insert mode)<br>  delete all indent in the current line, restore indent in next line
(Digraphs)<br>:dig[raphs]  	(Digraphs)<br>  show current list of digraphs
